choices,feedback,role,agent_self_type,agent_other_type,trial,game_id,combination,values
1,1,picker,WSLS,WSLS,88,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,89,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,90,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,91,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,92,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,93,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,94,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,95,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,96,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,97,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,98,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,99,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,100,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,101,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,102,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,103,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,104,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,105,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,106,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,107,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,108,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,109,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,110,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,111,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,112,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,113,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,114,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,115,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,116,1,WSLS_WSLS,NA
0,0,picker,WSLS,WSLS,117,1,WSLS_WSLS,NA
0,1,picker,WSLS,WSLS,118,1,WSLS_WSLS,NA
1,0,picker,WSLS,WSLS,119,1,WSLS_WSLS,NA
1,1,picker,WSLS,WSLS,120,1,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,1,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,2,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,3,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,4,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,5,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,6,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,7,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,8,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,9,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,10,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,11,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,12,2,WSLS_WSLS,NA
0,0,hider,WSLS,WSLS,13,2,WSLS_WSLS,NA
0,1,hider,WSLS,WSLS,14,2,WSLS_WSLS,NA
1,0,hider,WSLS,WSLS,15,2,WSLS_WSLS,NA
1,1,hider,WSLS,WSLS,16,2,WSLS_WSLS,NA
